category,count_questions,pct_of_questions,pct_of_all_labels
API_USAGE,648,37.37024221453287,25.63291139240506
CONCEPTUAL,1029,59.34256055363322,40.70411392405063
DISCREPANCY,227,13.09111880046136,8.979430379746836
ERRORS,221,12.745098039215685,8.742088607594937
REVIEW,273,15.7439446366782,10.799050632911394
API_CHANGE,38,2.1914648212226067,1.5031645569620253
LEARNING,92,5.3056516724336795,3.6392405063291138
